doc	x	y	w	h	pageid	img_node	img_w	img_h	src_node
2170:2	26889.0	-38477.0	1922.0	2485.0	MC_CONTRACT_BIZ_UPLOAD	2170:64	1250	1475.328125	859:2
2172:2	28949.0	-38477.0	1922.0	2258.0	MC_CONTRACT_BIZ_UPLOAD_CORP	2172:64	1250	1475.328125	864:2
2171:2	31009.0	-38477.0	1922.0	2755.0	MC_CONTRACT_BIZ_INFO	2171:64	1250	1475.328125	871:2
2173:2	28949.0	-35899.0	1922.0	2510.0	MC_CONTRACT_BIZ_INFO_CORP	2173:64	1250	1475.328125	877:2
2174:2	22769.0	-35770.0	1922.0	2437.0	MC_CONTRACT_ID_UPLOAD	2174:64	1250	1475.328125	882:2
2175:2	24829.0	-35697.0	1922.0	2485.0	MC_CONTRACT_ID_INFO	2175:64	1250	1475.328125	887:2
2176:2	26889.0	-35672.0	1922.0	2208.0	MC_CONTRACT_ID_INFO_DRIVER	2176:64	1250	1475.328125	891:2
2177:2	20709.0	-35452.0	1922.0	2778.0	MC_CONTRACT_LOCK_APPLY	2177:64	1250	1475.328125	895:2
2178:2	31009.0	-35402.0	1922.0	2583.0	MC_CONTRACT_LOCK_UPLOAD	2178:64	1250	1475.328125	899:2
2179:2	26889.0	-33144.0	1922.0	2632.0	MC_CONTRACT_LOCK_INFO	2179:64	1250	1475.328125	903:2
2180:2	28949.0	-33069.0	1922.0	2233.0	MC_CONTRACT_LOCK_FASTGUIDE	2180:64	1250	1475.328125	906:2
2181:2	22769.0	-33013.0	1922.0	2535.0	MC_CONTRACT_LOCK_VERIFY	2181:64	1250	1475.328125	817:2
2182:2	24829.0	-32892.0	1922.0	2535.0	MC_CONTRACT_LOCK_FASTINQ	2182:64	1250	1475.328125	824:2
2184:2	31009.0	-32499.0	1922.0	2654.0	MC_CONTRACT_DEPOSIT_UPLOAD	2184:64	1250	1475.328125	830:2
2183:2	20709.0	-32354.0	1922.0	2656.0	MC_CONTRACT_DEPOSIT_GATE	2183:64	1250	1475.328125	834:2
2185:2	28949.0	-30516.0	1922.0	2679.0	MC_CONTRACT_DEPOSIT_INFO	2185:64	1250	1475.328125	840:2
2186:2	26889.0	-30192.0	1922.0	2760.0	MC_CONTRACT_DEPOSIT_VERIFY	2186:64	1250	1475.328125	844:2
2188:2	22769.0	-30158.0	1922.0	2727.0	MC_CONTRACT_PLATFORM	2188:64	1250	1475.328125	850:2
2187:2	24829.0	-30037.0	1922.0	2712.0	MC_CONTRACT_SIGN	2187:64	1250	1475.328125	855:2
2189:2	31009.0	-29525.0	1922.0	2314.0	MC_CONTRACT_SIGN_ALLAGREE	2189:64	1250	1475.328125	861:2
2190:2	20709.0	-29378.0	1922.0	2314.0	MC_CONTRACT_SIGN_TERMSMODAL	2190:64	1250	1475.328125	866:2
2192:2	28949.0	-27517.0	1922.0	2566.0	MC_CONTRACT_SIGN_PREVIEW	2192:64	1250	1475.328125	870:2
2191:2	26889.0	-27112.0	1922.0	2160.0	MC_CONTRACT_SIGN_PREVIEW_ZOOM	2191:64	1250	1475.328125	876:2
2193:2	22769.0	-27111.0	1922.0	2616.0	MC_CONTRACT_SIGN_INPUT	2193:64	1250	1475.328125	881:2
2194:2	24829.0	-27005.0	1922.0	2493.0	MC_CONTRACT_SIGN_CONFIRM	2194:64	1250	1475.328125	885:2
2195:2	31009.0	-26891.0	1922.0	2339.0	MC_CONTRACT_SIGN_DONE	2195:64	1250	1475.328125	889:2
2116:2	21361.0	-21048.0	1922.0	3326.0	ST_MA	2116:64	1250	1475.328125	863:2
2114:2	23421.0	-21048.0	1922.0	2461.0	ST_MA_TIP_DIFF	2114:64	1250	1475.328125	1066:2
2118:2	25481.0	-21048.0	1922.0	2761.0	ST_MA_CARD	2118:64	1250	1475.328125	874:2
2121:2	27541.0	-21048.0	1922.0	2493.0	ST_MA_CARD_DT	2121:64	1250	1475.328125	879:2
2120:2	29601.0	-21048.0	1922.0	2688.0	ST_MA_DELIV	2120:64	1250	1475.328125	883:2
2119:2	31661.0	-21048.0	1922.0	2339.0	ST_MA_DELIV_TIP	2119:64	1250	1475.328125	1067:2
2123:2	31661.0	-18389.0	1922.0	2688.0	ST_MA_DELIV_DT	2123:64	1250	1475.328125	893:2
2124:2	23421.0	-18267.0	1922.0	3252.0	ST_DIFF	2124:64	1250	1475.328125	896:2
2122:2	27541.0	-18235.0	1922.0	2485.0	ST_DIFF_TIP_NORMAL	2122:64	1250	1475.328125	1068:2
2125:2	29601.0	-18040.0	1922.0	2461.0	ST_DIFF_TIP_MEET_DONE	2125:64	1250	1475.328125	1069:2
2127:2	25481.0	-17967.0	1922.0	2339.0	ST_DIFF_TIP_MEET_PLAN	2127:64	1250	1475.328125	1070:2
2129:2	21361.0	-17402.0	1922.0	2935.0	ST_AC	2129:64	1250	1475.328125	828:2
2126:2	27541.0	-15430.0	1922.0	2885.0	ST_AC_EX	2126:64	1250	1475.328125	835:2
2128:2	31661.0	-15381.0	1922.0	2461.0	ST_AC_EX_TIP	2128:64	1250	1475.328125	1071:2
2107:2	21361.0	-10705.0	1922.0	2559.0	MC_MYINFO	2107:64	1250	1475.328125	812:2
2108:2	23421.0	-10705.0	1922.0	2811.0	MC_MYINFO_CONTRACT	2108:64	1250	1475.328125	816:2
2109:2	25481.0	-10705.0	1922.0	2387.0	MC_MYINFO_CONTRACT_PREVIEW	2109:64	1250	1475.328125	822:2
2106:2	27541.0	-10705.0	1922.0	2412.0	MC_MYINFO_CONTRACT_TERMS	2106:64	1250	1475.328125	826:2
2112:2	29601.0	-10705.0	1922.0	2861.0	MC_MYINFO_ACCOUNTS	2112:64	1250	1475.328125	831:2
2111:2	31661.0	-10705.0	1922.0	2461.0	MC_MYINFO_ACCOUNTS_EDIT	2111:64	1250	1475.328125	836:2
2113:2	25481.0	-7998.0	1922.0	2657.0	MC_MYINFO_INQUIRY	2113:64	1250	1475.328125	842:2
2110:2	27541.0	-7973.0	1922.0	2339.0	MC_MYINFO_INQUIRY_NEW	2110:64	1250	1475.328125	847:2
2115:2	31661.0	-7924.0	1922.0	2412.0	MC_MYINFO_INQUIRY_DT	2115:64	1250	1475.328125	852:2
2117:2	21361.0	-7826.0	1922.0	2510.0	MC_MYINFO_PW	2117:64	1250	1475.328125	858:2
